"Follow-Up Year","Measure","E0: Surgery only","E1: Endocrine for ER+","E2: E1 plus Chemo for ER-","E3: E2 plus Chemo for Advanced ER+","E4: E1 plus downstaging to 60% advanced","E5: E2 plus downstaging to 60% advanced","E6: E3 plus downstaging to 60% advanced","E7: E1 plus downstaging to 35% advanced","E8: E2 plus downstaging to 35% advanced","E9: E3 plus downstaging to 35% advanced"
"5","Cumulative BC Incidence","257 (230, 289)","","","","","","","","",""
"","Cumulative BC Mortality","79 (64, 98)","70 (50, 88)","63 (49, 79)","59 (46, 72)","62 (45, 77)","55 (43, 71)","53 (42, 67)","51 (34, 65)","44 (32, 57)","43 (33, 56)"
"","% Incident Surviving","69.2 (64.2, 73.3)","72.7 (67.7, 79.3)","75.7 (70.3, 81)","76.9 (72.8, 80.7)","76 (71.4, 81.6)","78.5 (74.2, 83.4)","79.4 (75, 83.5)","80.3 (75.8, 85.3)","82.9 (78.2, 87.7)","83.2 (79.1, 86.4)"
"","MRR","1 (1, 1)","0.89 (0.69, 1.12)","0.8 (0.62, 1.01)","0.76 (0.6, 0.94)","0.79 (0.59, 1.01)","0.7 (0.53, 0.88)","0.67 (0.53, 0.82)","0.64 (0.47, 0.81)","0.56 (0.41, 0.75)","0.55 (0.42, 0.7)"
"","ARR","0 (0, 0)","9 (-9, 25)","16 (0, 33)","20 (4, 35)","17 (-1, 34)","24 (7, 40)","26 (12, 41)","29 (14, 45)","35 (17, 52)","36 (21, 53)"
"","Years of Life Saved","0 (0, 0)","15 (-18, 51)","29 (-6, 70)","34 (2, 75)","30 (-1, 67)","42 (7, 81)","46 (11, 86)","50 (15, 88)","61 (31, 102)","62 (30, 102)"
"10","Cumulative BC Incidence","616 (563, 663)","","","","","","","","",""
"","Cumulative BC Mortality","277 (244, 303)","254 (227, 281)","231 (203, 265)","217 (190, 247)","226 (196, 253)","206 (178, 242)","195 (167, 224)","190 (167, 213)","171 (146, 198)","164 (139, 186)"
"","% Incident Surviving","55 (51.6, 59.6)","58.8 (55.2, 62.3)","62.6 (58.8, 66.3)","64.8 (60.6, 68.2)","63.3 (59.8, 66.8)","66.6 (63.1, 70.5)","68.4 (64.1, 71.1)","69.2 (66.1, 72.1)","72.2 (68.6, 75.5)","73.5 (69.5, 76.6)"
"","MRR","1 (1, 1)","0.92 (0.83, 1.05)","0.83 (0.74, 0.93)","0.78 (0.69, 0.89)","0.82 (0.72, 0.92)","0.74 (0.66, 0.84)","0.7 (0.61, 0.8)","0.69 (0.61, 0.79)","0.62 (0.54, 0.71)","0.59 (0.51, 0.68)"
"","ARR","0 (0, 0)","23 (-12, 49)","46 (16, 74)","60 (30, 90)","51 (19, 80)","71 (42, 98)","82 (53, 112)","87 (53, 115)","106 (74, 132)","114 (80, 138)"
"","Years of Life Saved","0 (0, 0)","92 (-12, 200)","179 (64, 298)","227 (85, 335)","191 (70, 312)","268 (177, 380)","305 (165, 421)","324 (209, 438)","395 (280, 523)","418 (282, 552)"
"20","Cumulative BC Incidence","1584 (1521, 1648)","","","","","","","","",""
"","Cumulative BC Mortality","895 (844, 951)","842 (798, 895)","789 (736, 846)","752 (706, 799)","772 (728, 831)","716 (667, 770)","688 (639, 737)","673 (623, 726)","618 (567, 663)","599 (554, 645)"
"","% Incident Surviving","43.5 (41.2, 45.7)","46.8 (44.7, 49.2)","50.2 (47.7, 52.3)","52.5 (50.2, 54.8)","51.2 (49, 53.6)","54.8 (52.5, 56.8)","56.5 (54.5, 58.8)","57.5 (54.9, 59.6)","61 (58.5, 63.4)","62.1 (60.1, 63.9)"
"","MRR","1 (1, 1)","0.94 (0.9, 0.98)","0.88 (0.84, 0.92)","0.84 (0.8, 0.88)","0.86 (0.82, 0.9)","0.8 (0.76, 0.84)","0.77 (0.73, 0.81)","0.75 (0.71, 0.79)","0.69 (0.65, 0.73)","0.67 (0.64, 0.7)"
"","ARR","0 (0, 0)","53 (16, 95)","106 (67, 141)","143 (106, 183)","123 (86, 165)","179 (141, 215)","207 (166, 248)","222 (178, 274)","277 (237, 322)","296 (259, 333)"
"","Years of Life Saved","0 (0, 0)","442 (87, 696)","887 (605, 1167)","1155 (916, 1437)","997 (672, 1269)","1419 (1143, 1708)","1623 (1350, 1922)","1752 (1351, 2040)","2155 (1821, 2495)","2290 (2019, 2591)"
